Price List ID,Price List Name,Product Name,Variant ID,SKU,Qty  Band 1,Price 1,Qty Band 2,Price 2,Qty Band 3,Price 3
16,Distributor UK Single,Extra Large Deep Pile Bath Rug 1600gsm,1580,TBR01,1,15.75,5,15.75,25,13.97
16,Distributor UK Single,Contract Face Cloth 350gsm,1581,TCFC01,1,0.43,5,0.43,440,0.43
16,Distributor UK Single,Monaco Towel Gift Bale,1582,,,,,,,
16,Distributor UK Single,Personalised Deluxe Dressing gown and towel gift set,1584,MONOGRAMGIFTSET : MONOGRAMGIFTSETM,,,,,,
16,Distributor UK Single,Personalised Deluxe Dressing gown and towel gift set,1585,MONOGRAMGIFTSET : MONOGRAMGIFTSETXL,,,,,,
16,Distributor UK Single,Biodegradable Cotton Slippers with Cork Sole,1590,SCCLBIOCS,1,1.11,100,1.11,,
16,Distributor UK Single,SupremeSoft�� 300gsm Head,1592,TSUP&gt; : TSUPHB16,,,,,,
16,Distributor UK Single,SupremeSoft�� 300gsm Head,1593,TSUP&gt; : TSUPHB01,,,,,,
16,Distributor UK Single,SupremeSoft�� Deluxe 400gsm Treatment T,1595,TSUP400 : TSUP400TB01,1,26.95,5,26.95,10,26.95
16,Distributor UK Single,SupremeSoft�� Deluxe 400gsm Treatment T,1596,TSUP400 : TSUP400TBHHC01,1,32.17,4,32.17,8,32.17
16,Distributor UK Single,SupremeSoft�� Deluxe 400gsm Bath,1598,BSUP400 : BSUP400M01,1,27.41,5,27.41,10,27.41
16,Distributor UK Single,SupremeSoft�� Deluxe 400gsm Bath,1599,BSUP400 : BSUP400XL01,1,27.41,5,27.41,10,27.41
16,Distributor UK Single,Mystery Gift,1600,Mystery Gift,,,,,,
16,Distributor UK Single,Comfy Premium GOLD Bath Sheet 100x150cm,1601,TCOB1510,1,4.4,5,4.4,20,4.4
16,Distributor UK Single,Disposable White Flip Flops,1602,SRUFLDISP,1,0.32,200,0.28,,
16,Distributor UK Single,Thong Style Luxury Slippers,1603,STOFL01,1,0.95,100,0.84,,
16,Distributor UK Single,Pure Linen Duvet,1604,LPUD01,1,24.21,5,24.21,,
16,Distributor UK Single,Presentation Box,1605,Gift-Box-XL,,,,,,
16,Distributor UK Single,Waterproof Pillow Protector,1606,LPUPWP01,1,2.27,5,2.27,,
16,Distributor UK Single,Closed Toe Towelling Slippers,1607,STOCLBB01,1,0.95,100,0.68,,
16,Distributor UK Single,Open Toe Luxury Velour Slippers,1608,SVEOPBB01,1,0.95,100,0.78,,
16,Distributor UK Single,Comfy 450gsm Fitness Towel Pebble,1609,TCOHTFITNESS35,,,,,,
16,Distributor UK Single,Biodegradable Slippers with Coir Sole,1611,SCCLBIO01,1,1.43,100,1.43,,
16,Distributor UK Single,Open Toe Waffle Slippers,1612,SWAOPBB01,1,0.95,100,0.78,,
16,Distributor UK Single,Face Mask - Non Medical,1613,FMC11,1,1.93,5,1.93,100,1.93
16,Distributor UK Single,Waffle Lounge and Pool Chair Covers 350gsm,1614,TSELCC16,1,20.32,5,20.32,12,20.32
16,Distributor UK Single,Comfy Pebble Treatment Bed Makeover Kit - No Head Hole,1615,TMOCO35,,,,,,
